Link Produs,Pret (lei)
https://www.emag.ro/laptop-hp-15-ra060nq-cu-procesor-intelr-celeronr-n3060-pana-la-2-48-ghz-15-6-4gb-500gb-dvd-rw-intelr-hd-graphics-400-freedos-black-3qt74ea/pd/DPJQFSBBM/,949
https://www.emag.ro/laptop-asus-vivobook-15-cu-procesor-intelr-celeronr-n4000-pana-la-2-60-ghz-15-6-4gb-500gb-dvd-rw-intelr-uhd-graphics-600-endless-os-chocolate-black-x540ma-go145/pd/DDY1FCBBM/,999
https://www.emag.ro/laptop-gaming-asus-rog-strix-g531gu-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-5-ghz-15-6-full-hd-8gb-256gb-ssd-m-2-nvidia-geforce-gtx-1660ti-6gb-free-dos-black-g531gu-al110/pd/DVTFC5BBM/,5199
https://www.emag.ro/laptop-gaming-asus-tuf-fx505dt-cu-procesor-amd-ryzen-7-3750h-pana-la-4-0ghz-15-6-full-hd-120hz-8gb-1tb-hdd-256gb-ssd-m-2-nvidiar-geforce-gtx-1650-4gb-gddr5-free-dos-black-fx505dt-al061/pd/DZX2N5BBM/,3799
https://www.emag.ro/laptop-hp-15-db0068nq-cu-procesor-amd-ryzentm-5-2500u-pana-la-3-60-ghz-15-6-8gb-256gb-ssd-amd-radeontm-vega-8-free-dos-black-6tc09ea/pd/DPY1RQBBM/,1899
https://www.emag.ro/laptop-asus-x509fa-cu-procesor-intelr-coretm-i5-8265u-pana-la-3-9ghz-15-6-full-hd-4gb-1tb-hdd-intel-uhd-graphics-620-free-dos-slate-gray-x509fa-bq234/pd/DY78F5BBM/,2299
https://www.emag.ro/laptop-lenovo-ideapad-330-15ikb-cu-procesor-intelr-coretm-i7-8550u-pana-la-4-00-ghz-kaby-lake-r-15-6-full-hd-8gb-1tb-dvd-rw-nvidia-geforce-mx150-4gb-free-dos-platinum-grey-81de0190rm/pd/DLCTJSBBM/,2849
https://www.emag.ro/laptop-gaming-asus-tuf-fx504gd-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-8gb-1-tb-nvidiar-geforcer-gtx-1050-2gb-free-dos-black-fx504gd-e4437/pd/D27L8RBBM/,3099
https://www.emag.ro/laptop-asus-x540ma-cu-procesor-intelr-celeronr-n4000-pana-la-2-60-ghz-15-6-4gb-256gb-ssd-dvd-rw-intelr-uhd-graphics-600-endless-os-chocolate-black-x540ma-go360/pd/DVPQQLBBM/,1099
https://www.emag.ro/laptop-asus-cu-procesor-intelr-celeronr-n4000-pana-la-2-60-ghz-15-6-4gb-256gb-ssd-intel-uhd-graphics-600-microsoft-windows-10-chocolate-black-x540ma-go550t/pd/D0T40QBBM/,1399
https://www.emag.ro/laptop-lenovo-ideapad-s145-15iwl-cu-procesor-intel-core-i5-8265u-pana-la-3-9-ghz-15-6-hd-4gb-128gb-ssd-m-2-intel-uhd-graphics-620-free-dos-grey-81mv00mwrm/pd/DF1DC5BBM/,1799
https://www.emag.ro/laptop-lenovo-ideapad-s145-15iwl-cu-procesor-intel-core-i5-8265u-pana-la-3-9-ghz-15-6-full-hd-8gb-256gb-ssd-m-2-intel-uhd-graphics-620-free-dos-grey-81mv00myrm/pd/DQ1Y45BBM/,2149
https://www.emag.ro/laptop-gaming-omen-by-hp-15-dc0014nq-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-ips-8gb-1tb-nvidiar-geforcer-gtx-1050-ti-4gb-free-dos-black-4mm11ea/pd/DDRXVSBBM/,4099
https://www.emag.ro/laptop-asus-a509fa-cu-procesor-intelr-coretm-i5-8265u-pana-la-3-9ghz-15-6-full-hd-8gb-512gb-ssd-m-2-intel-uhd-graphics-620-free-dos-slate-gray-a509fa-bq368/pd/DZX895BBM/,2499
https://www.emag.ro/laptop-lenovo-ideapad-s145-14iwl-cu-procesor-intelr-core-i3-8145u-pana-la-3-90-ghz-14-full-hd-4gb-128gb-ssd-m-2-intel-uhd-graphics-620-windows-10-home-s-grey-81mu00eerm/pd/DPD3H5BBM/,1799
https://www.emag.ro/laptop-asus-vivobook-s15-s530fn-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-60-ghz-whiskey-lake-15-6-full-hd-8gb-1tb-hybrid-firecuda-nvidia-geforce-mx150-2gb-endless-os-gun-metal-s530fn-bq232/pd/DCQD9LBBM/,3599
https://www.emag.ro/laptop-gaming-omen-by-hp-15-dc1004nq-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-ips-144hz-16gb-1tb-128gb-ssd-nvidia-geforce-rtx-2060-6gb-free-dos-shadow-black-6bm72ea/pd/D18FKRBBM/,6199
https://www.emag.ro/laptop-asus-vivobook-15-x512ua-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-15-6-full-hd-8gb-256gb-ssd-intel-uhd-graphics-620-free-dos-transparent-silver-x512ua-bq237/pd/DBHJGLBBM/,2699
https://www.emag.ro/laptop-gaming-hp-pavilion-15-cx0008nq-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-ips-8gb-1tb-nvidiar-geforcer-gtx-1050-ti-4gb-free-dos-black-4tv12ea/pd/DXKHX4BBM/,3499
https://www.emag.ro/laptop-2-in-1-allview-cu-procesor-intelr-celeronr-n3350-pana-la-2-40-ghz-13-3-full-hd-ips-4gb-64gb-emmc-intelr-hd-graphics-microsoft-windows-10-grey-allbook-m/pd/DT30X4BBM/,999
https://www.emag.ro/laptop-apple-macbook-air-13-ecran-retina-procesor-intelr-coretm-i5-1-60-ghz-8gb-ram-128gb-ssd-intel-uhd-graphics-617-macos-rom-kb-space-grey-mre82ro-a/pd/DCJF64BBM/,5499
https://www.emag.ro/laptop-gaming-asus-rog-g531gv-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-5-ghz-15-6-full-hd-144-hz-16gb-1tb-hdd-512gb-ssd-m-2-nvidiar-geforce-rtxtm-2060-6gb-free-dos-black-g531gv-es032/pd/DYKFC5BBM/,7499
https://www.emag.ro/laptop-asus-vivobook-15-x540ua-cu-procesor-intelr-coretm-i3-7020u-2-30-ghz-kaby-lake-15-6-full-hd-4gb-256gb-ssd-intelr-hd-graphics-620-microsoft-windows-10-chocolate-black-x540ua-dm1153t/pd/DRXZFLBBM/,1999
https://www.emag.ro/laptop-lenovo-ideapad-s145-15iwl-cu-procesor-intel-celeron-4205u-1-8-ghz-15-6-hd-4gb-256-ssd-m-2-intel-uhd-graphics-610-free-dos-grey-81mv0051rm/pd/DL9FPQBBM/,1099
https://www.emag.ro/laptop-gaming-omen-by-hp-15-dc0004nq-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-144-hz-ips-12gb-1tb-nvidiar-geforcer-gtx-1050-4gb-free-dos-shadow-black-4kh34ea/pd/D6Z1FSBBM/,4299
https://www.emag.ro/laptop-asus-a509fa-cu-procesor-intelr-coretm-i3-8145u-pana-la-3-9-ghz-15-6-full-hd-4gb-256gb-ssd-m-2-intel-uhd-graphics-620-free-dos-slate-gray-a509fa-ej226/pd/DG73K6BBM/,1699
https://www.emag.ro/laptop-gaming-lenovo-legion-y530-15ich-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-ips-8gb-1tb-nvidiar-geforcer-gtx-1050-4gb-free-dos-black-81fv003mrm/pd/DMH38SBBM/,3249
https://www.emag.ro/laptop-ultraportabil-lenovo-ideapad-s340-14api-cu-procesor-amd-ryzen-3-3200u-pana-la-3-5-ghz-14-full-hd-4gb-128gb-ssd-m-2-amd-radeon-vega-3-windows-10-home-s-platinum-grey-81nb006wrm/pd/D5W945BBM/,1649
https://www.emag.ro/laptop-gaming-lenovo-legion-y530-15ich-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-ips-8gb-256gb-ssd-nvidia-geforce-gtx-1050-ti-4gb-free-dos-black-81fv018erm/pd/D9TB71BBM/,3499
https://www.emag.ro/laptop-lenovo-v130-15ikb-cu-procesor-intelr-coretm-i5-7200u-pana-la-3-10-ghz-kaby-lake-15-6-full-hd-8gb-256gb-ssd-radeon-530-2gb-free-dos-iron-grey-81hn00esri/pd/DG3QQSBBM/,2199
https://www.emag.ro/laptop-asus-x509fa-cu-procesor-intelr-coretm-i5-8265u-pana-la-3-9ghz-15-6-full-hd-4gb-256gb-ssd-m-2-intel-uhd-graphics-620-windows-10-slate-gray-x509fa-bq157t/pd/DM78F5BBM/,2599
https://www.emag.ro/laptop-asus-x509fa-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-6-ghz-15-6-full-hd-8gb-256gb-ssd-m-2-intel-uhd-graphics-620-free-dos-slate-gray-x509fa-bq249/pd/DTD3K6BBM/,2799
https://www.emag.ro/laptop-apple-macbook-air-13-cu-procesor-intelr-dual-coretm-i5-1-80ghz-13-3-8gb-128gb-ssd-intelr-hd-graphics-6000-int-kb-silver-mqd32ze-a-as/pd/DV8T9NBBM/,5799
https://www.emag.ro/laptop-asus-a505za-cu-procesor-amd-ryzentm-5-2500u-pana-la-3-60-ghz-15-6-full-hd-4gb-1tb-radeontm-vega-8-graphics-endless-os-dark-grey-a505za-ej667/pd/DHXPTZBBM/,1599
https://www.emag.ro/laptop-asus-x507ua-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-15-6-full-hd-8gb-1tb-intel-uhd-graphics-620-endless-os-star-grey-x507ua-ej1076/pd/DBMGFQBBM/,2299
https://www.emag.ro/laptop-gaming-asus-rog-gx502gw-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-5-ghz-15-6-full-hd-144-hz-16gb-512gb-ssd-m-2-nvidiar-geforce-rtxtm-2070-8gb-free-dos-black-gx502gw-es002/pd/DRTFC5BBM/,9499
https://www.emag.ro/laptop-hp-15-da0181nq-cu-procesor-intelr-celeronr-n4000-pana-la-2-60-ghz-15-6-4gb-256gb-ssd-dvd-rw-intelr-uhd-graphics-600-free-dos-black-6bm71ea/pd/D94D2ZBBM/,1099
https://www.emag.ro/laptop-asus-cu-procesor-amd-ryzentm-7-2700u-pana-la-3-80-ghz-15-6-4gb-1tb-radeontm-rx-vega-10-graphics-endless-os-matt-dark-grey-a505za-br264/pd/D5GRTLBBM/,1999
https://www.emag.ro/laptop-gaming-msi-gl63-8re-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-8gb-1tb-nvidia-geforce-gtx-1060-6gb-free-dos-black-9s7-16p532-828/pd/DJH1Y1BBM/,4299
https://www.emag.ro/laptop-asus-vivobook-15-x540ua-cu-procesor-intelr-coretm-i3-8130u-pana-la-3-40-ghz-kaby-lake-15-6-full-hd-4gb-256gb-ssd-dvd-rw-intelr-uhd-graphics-620-endless-os-chocolate-black-x540ua-dm1150/pd/DJPQQLBBM/,1749
https://www.emag.ro/laptop-gaming-hp-pavilion-15-bc408nq-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-8gb-1tb-nvidia-geforce-gtx-1050-4gb-free-dos-shadow-black-4mr61ea/pd/D91WC1BBM/,3399
https://www.emag.ro/laptop-gaming-asus-rog-g-g531gt-cu-procesor-intelr-coretm-i5-9300h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-ips-8gb-512gb-ssd-nvidia-geforce-gtx-1650-4gb-free-dos-black-g531gt-bq067/pd/DNB825BBM/,4049
